probeset,human1,human2,human3,human4,chimp1,chimp2,chimp3,chimp4
1552761_at,2.55656889568903,2.63420749712213,2.39484319563867,2.61510132287605,2.64938559679242,2.66331046157115,2.7161168139669,2.15450428441501
1552763_at,2.32507573958097,2.3356844136016,2.17991415670207,2.13536902417434,2.08106435831936,2.37979307870473,2.61828448983999,2.12384435811204
1552765_x_at,4.48707737153631,4.42240377776347,5.21641662661889,4.5767557104964,5.45522444378585,4.67350860008754,5.07730346438703,5.31339484714223
1552766_at,3.44678529151483,3.81382333927345,3.13478086439988,3.41248944363617,3.61435141571748,4.2908283692257,4.90522819108358,3.71850072361122
1552767_a_at,5.40604958157238,5.28433803194259,5.43557715487702,5.20002959377304,4.99181535758671,5.3088260542735,5.39916154740644,5.31768474506608
1552768_at,4.09350922164378,4.24542388864235,3.87937770284051,4.31036018419613,3.99782269643927,4.30045185823148,4.20418335103778,4.10746549940452
1552769_at,2.41215300350162,2.41281616070532,2.32225053059637,2.48589034997598,2.1930676273087,2.0280877605965,2.3128848648197,2.3631095729433
1552770_s_at,4.1324242341798,5.18600534003182,4.12215234089691,3.89177435404301,5.05825666573364,3.92989284958887,5.10189007355492,4.84571976779399
1552771_a_at,2.27458869596812,2.91586675081,2.21758506990404,2.21358747372773,3.63985537554547,2.50296216369785,2.65292921328863,2.65328976087383
1552772_at,2.05935847701444,2.01348751185519,2.37817361214553,2.29323351356411,3.49344354345362,2.31330515419764,2.93194282529566,2.28377886624386
1552773_at,3.2893194974508,3.17221906719527,3.16712165704809,3.18445061371973,3.09148321974587,3.13546529166164,3.292365549359,3.17539236924137
1552774_a_at,2.18341137584145,2.19493522841556,2.26378346406786,2.18038441201172,2.31395861389428,2.21444176303844,2.22462016593702,1.98868220442436
1552775_at,3.95512420922619,6.34917097450566,3.35093285600928,4.50450688556259,2.1915933729679,2.49532587123932,2.89446620805161,3.42504922171723
1552777_a_at,4.20317370589214,4.06706642100186,3.6275984962037,3.85643911676367,4.7363493742194,4.18700275731313,4.11610528991899,4.1158303501417
1552779_a_at,5.94250938784411,5.89996335844832,5.86720128440079,6.09758800595034,7.01300920709791,6.8864475147294,6.81664080899878,6.44913504436099
1552782_at,4.18498910455057,4.20621053941713,4.20734928164116,4.91204082351221,4.8777658304974,5.07391599640905,5.22870701779713,4.51902260881476
1552783_at,6.67051899797808,6.74647221264241,6.58093630193955,6.6420064222925,6.80139453822224,6.93135414684416,6.88750366280448,6.8519694161531
1552785_at,2.95867729041224,2.87040746319646,3.48587171620931,3.34313826312841,2.7694863161873,3.01749065421312,3.39954022014361,3.48440358920345
1552787_at,4.8544332281053,5.02739597608602,5.13141467741675,5.11374552761509,5.04681648658671,5.1734098607124,5.05002413617967,5.41389525694529
1552788_a_at,1.86700415900675,1.70379419867561,1.52621959066983,1.77214981834742,1.6296841808961,1.92855032104691,1.99001437958089,1.9857144891931
1552789_at,2.884884461521,2.98593828477763,3.00451440238642,2.70048138907415,3.13224125350143,3.25347462479017,2.98992524166678,3.16283041921385
1552790_a_at,2.8996876725371,3.23163552565847,3.01060990509207,2.89331236437827,3.2856569807342,3.2562623178345,3.65034285099589,3.42061523473659
1552791_a_at,3.80193264960737,3.8905916081666,3.3577082189825,3.88780078065456,4.6836714728712,3.93251597257222,4.39146850657311,4.5220303099365
1552792_at,4.62085040719796,4.89034987218214,4.97185704576085,4.08406194330782,4.2238451828104,3.82787573153256,4.25672693094291,3.60532601889789
1552793_at,4.79348189669496,4.50892682221029,4.73121540508445,4.59125216309954,4.34617132859755,4.8817822509618,4.33064372309969,4.79482508620362
1552794_a_at,3.23645840278114,3.29302505648127,3.03225282715276,3.30754474453865,3.00264793131438,3.1537281095016,3.01309886023281,3.21798355333473
1552796_a_at,2.82317305830275,2.50291203213812,2.95579460155013,2.49877573482746,3.27152687741167,3.2584601051329,3.26626906490069,3.1645218774176
1552797_s_at,2.9732802631771,2.66740678728512,2.45110681450399,2.64227014717987,2.07944472614882,2.25406888193394,1.97914304981018,2.1319637888409
1552798_a_at,2.78185809466847,3.61669516844218,2.3305262255863,2.3828288797,2.65842113175082,2.23333911692326,2.24714952031439,2.07457750499361
1552799_at,5.88070063722502,5.70647132060788,5.19290418195069,5.92479164086478,5.66183702319502,8.13654615727748,7.90828689693472,6.86006775308677
1552800_at,2.78185809466847,2.96318612948119,2.92249196487157,2.8560690783331,3.02548866035398,3.12921196513894,3.16286109818544,3.0116722628395
1552801_at,3.13477112531675,3.19249321517265,3.25740967726562,3.36564373734413,3.36232267837041,3.34066902761653,3.30360144552838,3.13965074962394
1552803_a_at,3.15145629061053,2.85928777939433,2.94641979311418,2.80645948779785,3.05315904943863,2.85043349776063,3.39212734175203,3.55102809575281
1552804_a_at,3.14159617555537,3.07295343871826,3.19155692877812,3.02126161968899,3.19000088057292,3.29547074539492,3.07022039294721,3.01541289389132
1552806_a_at,3.67690855656779,3.54216366536849,3.65694413598433,3.83442122834156,3.85710808426819,3.82716915647876,3.44384657122371,3.76000312799093
1552807_a_at,3.02593147482577,2.8262308415314,3.13135783620595,2.97456554491369,3.14985499495959,3.07525800546376,3.14985499495959,3.07525800546376
1552808_at,5.16667767080547,3.98400589319224,5.8096598063353,5.40243658226806,3.57882276609803,4.39469077251421,4.61115877438741,2.5812840894757
1552809_at,4.44075648041126,4.74966925356939,4.72568332382014,4.57840318221276,3.53553144693959,3.79339047091967,3.60527800864281,3.25036659226799
1552811_at,3.60462479206405,3.22571820641435,3.48941313067405,3.99205769584006,2.85037952254644,2.39399097845073,2.47984811846079,2.53229683927715
1552812_a_at,3.67862163908306,4.42905383347784,4.95070984052038,4.19253161361602,7.12322262498539,4.0256222211721,4.33064372309969,3.37524298823719
1552813_at,5.5343753680729,6.35132805729867,7.70780664276303,4.69787812336367,3.68998060429043,3.33253480710894,3.71082739647981,4.22238839602994
1552814_a_at,5.31409909055362,5.33280169317116,5.52831971754471,5.26401446872816,5.79587853158894,5.57775264546749,5.6176981384107,5.45301365460109
1552816_at,4.39075861833321,4.77055519289535,4.69338476101463,4.55251647329271,4.46000491199318,4.62697816212661,4.97126403286431,4.52998828604457
